chid,views,subscriber,videoscount,date
UC6ROKPXrnzfhNYST1w,3302429,2087,4,2016-10-01
UC6ROKPXrnzfhNYST1w,3304705,2087,4,2016-10-02
UC6ROKPXrnzfhNYST1w,3306526,2090,4,2016-10-03
UC6ROKPXrnzfhNYST1w,3309092,2090,4,2016-10-04
UC6ROKPXrnzfhNYST1w,3311343,2090,4,2016-10-05
UC6ROKPXrnzfhNYST1w,3313549,2091,4,2016-10-06
UC6ROKPXrnzfhNYST1w,3316519,2092,4,2016-10-07
UC6ROKPXrnzfhNYST1w,3319146,2091,4,2016-10-08
UC6ROKPXrnzfhNYST1w,3321635,2093,4,2016-10-09
UC6ROKPXrnzfhNYST1w,3324611,2094,4,2016-10-10
UC6ROKPXrnzfhNYST1w,3327683,2096,4,2016-10-11
UC6ROKPXrnzfhNYST1w,3331052,2098,4,2016-10-12
UC6ROKPXrnzfhNYST1w,3331052,2098,4,2016-10-13
UC6ROKPXrnzfhNYST1w,3335704,2100,4,2016-10-14
UC6ROKPXrnzfhNYST1w,3339653,2104,4,2016-10-15
UC6ROKPXrnzfhNYST1w,3343685,2107,4,2016-10-16
UC6ROKPXrnzfhNYST1w,3346412,2107,4,2016-10-17
UC6ROKPXrnzfhNYST1w,3348952,2109,4,2016-10-18
UC6ROKPXrnzfhNYST1w,3351502,2110,4,2016-10-19
UC6ROKPXrnzfhNYST1w,3355287,2113,4,2016-10-20
UC6ROKPXrnzfhNYST1w,3355287,2114,4,2016-10-21
UC6ROKPXrnzfhNYST1w,3363102,2118,4,2016-10-22
UC6ROKPXrnzfhNYST1w,3367243,2119,4,2016-10-23
UC6ROKPXrnzfhNYST1w,3367243,2122,4,2016-10-24
UC6ROKPXrnzfhNYST1w,3372972,2123,4,2016-10-25
UC6ROKPXrnzfhNYST1w,3375730,2124,4,2016-10-26
UC6ROKPXrnzfhNYST1w,3379522,2126,4,2016-10-27
UC6ROKPXrnzfhNYST1w,3383486,2128,4,2016-10-28
UC6ROKPXrnzfhNYST1w,3387252,2124,4,2016-10-29
UC6ROKPXrnzfhNYST1w,3391743,2125,4,2016-10-30
UC6ROKPXrnzfhNYST1w,3395809,2127,4,2016-10-31
UC6ROKPXrnzfhNYST1w,3398061,2129,4,2016-11-01
UC6ROKPXrnzfhNYST1w,3400360,2131,4,2016-11-02
UC6ROKPXrnzfhNYST1w,3402841,2131,4,2016-11-03
UC6ROKPXrnzfhNYST1w,3405298,2131,4,2016-11-04
UC6ROKPXrnzfhNYST1w,3405298,2132,4,2016-11-05
UC6ROKPXrnzfhNYST1w,3410614,2132,4,2016-11-06
UC6ROKPXrnzfhNYST1w,3412427,2133,4,2016-11-07
UC6ROKPXrnzfhNYST1w,3415451,2134,4,2016-11-08
UC6ROKPXrnzfhNYST1w,3417540,2134,4,2016-11-09
UC6ROKPXrnzfhNYST1w,3419039,2135,4,2016-11-10
UC6ROKPXrnzfhNYST1w,3420719,2137,4,2016-11-11
UC6ROKPXrnzfhNYST1w,3422616,2137,4,2016-11-12
UC6ROKPXrnzfhNYST1w,3424481,2137,4,2016-11-13
UC6ROKPXrnzfhNYST1w,3426470,2137,4,2016-11-14
UC6ROKPXrnzfhNYST1w,3428251,2139,4,2016-11-15
UC6ROKPXrnzfhNYST1w,3428251,2141,4,2016-11-16
UC6ROKPXrnzfhNYST1w,3432183,2141,4,2016-11-17
UC6ROKPXrnzfhNYST1w,3434341,2141,4,2016-11-18
UC6ROKPXrnzfhNYST1w,3436545,2143,4,2016-11-19
UC6ROKPXrnzfhNYST1w,3438137,2143,4,2016-11-20
UC6ROKPXrnzfhNYST1w,3439918,2144,4,2016-11-21
UC6ROKPXrnzfhNYST1w,3441395,2144,4,2016-11-22
UC6ROKPXrnzfhNYST1w,3442943,2144,4,2016-11-23
UC6ROKPXrnzfhNYST1w,3444461,2145,4,2016-11-24
UC6ROKPXrnzfhNYST1w,3446260,2145,4,2016-11-25
UC6ROKPXrnzfhNYST1w,3447835,2146,4,2016-11-26
UC6ROKPXrnzfhNYST1w,3449422,2147,4,2016-11-27
UC6ROKPXrnzfhNYST1w,3450461,2146,4,2016-11-28
UC6ROKPXrnzfhNYST1w,3454864,2146,4,2016-11-29
UC6ROKPXrnzfhNYST1w,3452549,2146,4,2016-11-30
UC6ROKPXrnzfhNYST1w,3452549,2146,4,2016-12-01
UC6ROKPXrnzfhNYST1w,3452549,2146,4,2016-12-02
UC6ROKPXrnzfhNYST1w,3452549,2146,4,2016-12-03
UC6ROKPXrnzfhNYST1w,3452549,2146,4,2016-12-04
UC6ROKPXrnzfhNYST1w,3458523,2146,4,2016-12-05
UC6ROKPXrnzfhNYST1w,3461592,2148,4,2016-12-06
UC6ROKPXrnzfhNYST1w,3461592,2148,4,2016-12-07
UC6ROKPXrnzfhNYST1w,3464270,2149,4,2016-12-08
UC6ROKPXrnzfhNYST1w,3465710,2151,4,2016-12-09
UC6ROKPXrnzfhNYST1w,3467413,2149,4,2016-12-10
UC6ROKPXrnzfhNYST1w,3469167,2150,4,2016-12-11
UC6ROKPXrnzfhNYST1w,3470839,2151,4,2016-12-12
UC6ROKPXrnzfhNYST1w,3474988,2152,4,2016-12-13
UC6ROKPXrnzfhNYST1w,3478463,2152,5,2016-12-14
UC6ROKPXrnzfhNYST1w,3480351,2152,5,2016-12-15
UC6ROKPXrnzfhNYST1w,3481906,2154,5,2016-12-16
UC6ROKPXrnzfhNYST1w,3481906,2155,5,2016-12-17
UC6ROKPXrnzfhNYST1w,3485374,2155,5,2016-12-18
UC6ROKPXrnzfhNYST1w,3487097,2156,5,2016-12-19
UC6ROKPXrnzfhNYST1w,3488497,2157,5,2016-12-20
UC6ROKPXrnzfhNYST1w,3490372,2159,5,2016-12-21
UC6ROKPXrnzfhNYST1w,3492386,2164,5,2016-12-22
UC6ROKPXrnzfhNYST1w,3494773,2166,5,2016-12-23
UC6ROKPXrnzfhNYST1w,3498400,2167,5,2016-12-24
UC6ROKPXrnzfhNYST1w,3501403,2167,5,2016-12-25
UC6ROKPXrnzfhNYST1w,3504095,2163,5,2016-12-26
UC6ROKPXrnzfhNYST1w,3506432,2165,5,2016-12-27
UC6ROKPXrnzfhNYST1w,3509267,2168,5,2016-12-28
UC6ROKPXrnzfhNYST1w,3512335,2169,5,2016-12-29
UC6ROKPXrnzfhNYST1w,3515128,2169,5,2016-12-30
UC6ROKPXrnzfhNYST1w,3517728,2170,5,2016-12-31
UC6ROKPXrnzfhNYST1w,3520251,2174,5,2017-01-01
UC6ROKPXrnzfhNYST1w,3523386,2176,5,2017-01-02
UC6ROKPXrnzfhNYST1w,3526402,2178,5,2017-01-03
UC6ROKPXrnzfhNYST1w,3529722,2181,5,2017-01-04
UC6ROKPXrnzfhNYST1w,3533314,2184,5,2017-01-05
UC6ROKPXrnzfhNYST1w,3536986,2187,5,2017-01-06
UC6ROKPXrnzfhNYST1w,3541672,2193,5,2017-01-07
UC6ROKPXrnzfhNYST1w,3549290,2198,5,2017-01-08
UC6ROKPXrnzfhNYST1w,3552689,2198,5,2017-01-09
UC6ROKPXrnzfhNYST1w,3555499,2202,5,2017-01-10
UC6ROKPXrnzfhNYST1w,3558452,2205,5,2017-01-11
UC6ROKPXrnzfhNYST1w,3561505,2205,5,2017-01-12
UC6ROKPXrnzfhNYST1w,3564110,2209,5,2017-01-13
UC6ROKPXrnzfhNYST1w,3580985,2211,5,2017-01-14
UC6ROKPXrnzfhNYST1w,3580985,2213,5,2017-01-15
UC6ROKPXrnzfhNYST1w,3620411,2218,5,2017-01-16
UC6ROKPXrnzfhNYST1w,3637138,2219,5,2017-01-17
UC6ROKPXrnzfhNYST1w,3646312,2223,5,2017-01-18
UC6ROKPXrnzfhNYST1w,3648328,2229,5,2017-01-19
UC6ROKPXrnzfhNYST1w,3652919,2232,5,2017-01-20
UC6ROKPXrnzfhNYST1w,3658256,2234,5,2017-01-21
UC6ROKPXrnzfhNYST1w,3663214,2240,5,2017-01-22
UC6ROKPXrnzfhNYST1w,3667931,2245,5,2017-01-23
UC6ROKPXrnzfhNYST1w,3609696,2250,5,2017-01-24
UC6ROKPXrnzfhNYST1w,3609696,2251,5,2017-01-25
