adview,views,likes,dislikes,comment,category,days,duration
40,1031602,8523,363,1095,6,815,457
2,1707,56,2,6,4,798,570
1,2023,25,0,2,3,889,136
6,620860,777,161,153,8,864,262
1,666,1,0,0,4,892,31
4,78,0,0,0,4,943,15
40621,43118,15,1,0,4,1205,200
1,14205,55,16,1,5,859,58
1,526015,3064,211,2582,6,1128,1670
1,406992,3831,310,7839,2,796,679
19,607447,377,144,65,4,852,745
9,429137,2181,76,172,2,1078,228
224,1895,59,5,0,2,846,254
1,59843,68,16,10,4,1035,8608
2,211642,1378,65,103,6,1345,170
1,3700,29,6,3,2,1900,37
2,2303,4,0,0,7,2989,26
4794,5886,23,0,4,4,764,312
107,9477,66,0,0,7,1265,22
53702,115426,83,10,2,7,1184,196
2,62255,71,10,1,4,1286,761
1,15353,13,6,9,4,857,101
1,236589,1730,38,140,4,1206,325
2,94719,192,11,23,4,859,41
14,3089826,7493,1148,330,4,960,798
3,2046444,3910,845,247,7,1089,362
3,2103487,13342,734,650,2,1590,659
3,740683,935,68,57,4,1908,98
1,805979,2036,183,215,2,1356,131
1,229495,372,50,44,4,1653,8552
1,2758,2,0,1,4,1880,167
1,24672,313,10,128,4,1902,665
2,2000406,14974,686,1297,4,1015,537
4,163161,617,25,51,5,897,228
6,422797,1226,122,117,4,848,803
1,157479,944,40,52,2,1344,69
1,109,0,1,0,4,1682,473
53,3258674,9193,290,823,7,1250,4226
2,17128,33,4,4,6,2632,99
1,136151,155,13,14,4,852,629
1,1034,5,0,0,1,1012,261
1,513871,743,214,45,4,1270,676
4,178089,1259,24,124,5,911,823
17,553420,818,167,59,4,1909,3457
2,623004,531,182,76,4,2103,75
1,172599,162,61,35,5,1307,5549
1,793069,2638,163,135,7,1246,866
4,462,1,0,0,4,809,31
1,15882,102,1,41,4,2908,806
1,797861,2117,225,170,4,1224,1704
1,5503,6,2,1,7,2000,246
1,19213,78,5,0,4,827,148
4,165497,215,62,153,4,2149,2315
1,212195,561,61,192,4,932,622
4,805,6,0,0,4,917,20
5,89443,84,26,4,4,1692,713
2,56573,228,5,16,7,1918,153
61,367301,204,80,4,4,1456,328
1619,1389401,13224,831,522,6,1878,136
1,7702,23,0,1,7,1484,140
